batch_no,1000_kernel_weight_min,malt_foreign_matter,malt_friability,malt_moisture_max,malt_hot_water_extract_on_dry_weight_basis_min,ph_of_wort_extract_solution_hwe,malt_predicted_spirit_yield_min,fermentability_min,screening_above_2_5mm_sieve,screening_above_2_8mm_sieve,screening_below_2_2mm_sieve,grist_ratio_on_milling_1_course,grist_ratio_on_milling_1_medium,grist_ratio_on_milling_1_fine,grist_ratio_on_milling_2_course,grist_ratio_on_milling_2_medium,grist_ratio_on_milling_2_fine,grist_ratio_on_milling_3_course,grist_ratio_on_milling_3_medium,grist_ratio_on_milling_3_fine,grist_ratio_on_milling_mean_of_1_3_course,grist_ratio_on_milling_mean_of_1_3_medium,grist_ratio_on_milling_mean_of_1_3_fine,ph_process_water,total_dissolve_solids_max,hardness_max,chloride_max,alkalinity,free_chlorine,sensory,proteinase_t_enzyme_shelf_life_at_the_time_of_use_min,date_of_mfg_a_proteinase_t,date_of_expiry_b_proteinase_t,date_of_use_c_proteinase_t,shelf_life_available_proteinase_t,optimash_tbg_enzyme_shelf_life_at_the_time_of_use,date_of_mfg_a_optimash_tbg,date_of_expiry_b_optimash_tbg,date_of_use_c_optimash_tbg,shelf_life_available_optimash_tbg,spezyme_alpha_nk_enzyme_shelf_life_at_the_time_of_use,date_of_mfg_a_spezyme_alpha_nk,date_of_expiry_b_spezyme_alpha_nk,date_of_use_c_spezyme_alpha_nk,shelf_life_available_spezyme_alpha_nk,diazyme_tga_enzyme_shelf_life_at_the_time_of_use,date_of_mfg_a_diazyme_tga,date_of_expiry_b_diazyme_tga,date_of_use_c_diazyme_tga,shelf_life_available_diazyme_tga,grist_case_weight,sparging_mashing_water_flow,sparging_mashing_totaliser,mashing_temperature,sparging_water_temperature,wort_receiver_temperature,mash_time,rest_recirculation,wort_collection_time,water_1st_sparge_volume,water_1st_sparge_temperature,water_2nd_sparge_volume,water_2nd_sparge_temperature,wort_collection_flow_rate,mash_vessel_turnaround_time,weak_wort_output_temperature,raking_arm_speed,draff_loss,dose_of_enzyme_1_proteinase_t,time_of_addition_of_enzyme_proteinase_t,temperature_in_mash_tun_proteinase_t,dose_of_enzyme_2_optimash_tbg,time_of_addition_of_enzyme_optimash_tbg,temperature_in_mashtun_optimash_tbg,dose_of_enzyme_3_spezyme_alpha_nk,time_of_addition_of_enzyme_spezyme_alpha_nk,temperature_in_mashtun_spezyme_alpha_nk,dose_of_enzyme_4_diazyme_tga,time_of_addition_of_enzyme_diazyme_tga,temperature_in_mash_tun_diazyme_tga,spent_lees_reused_kl,weak_wort_volume,mash_water_volume,total_grist_weight_loaded,grist_ratio_water,1st_wort_gravity_wort,1st_wort_turbidity_wort,set_up_wort_gravity_wort,wort_ph_wort,fermentable_sugar_optional_wort,wort_sensory_observation_wort
647,39.95,0.3,78.32,4.8,77.48, ,336.95, , , , ,18.42,74.9,6.9,18.2,74.9,6.9,18.42,74.9,6.9,18.42,74.9,6.9,7.21,251,120,38,80,nil,acceptable,0.41,2023-01-30 00:00:00,2025-04-30 00:00:00,2024-11-01 00:00:00,0.2192448233861145,2024-11-01 00:00:00,2024-12-23 00:00:00,2024-01-25 00:00:00,2024-11-01 00:00:00,0.39, ,2024-07-23 00:00:00,2024-07-25 00:00:00,2024-11-01 00:00:00,33.1, ,2024-02-24 00:00:00,2024-02-26 00:00:00,2024-11-01 00:00:00,62.5,7954,800,280,64.37,78.0,64.8,25,30,150,150,78.2,150,85.2,130,280,74.3,0.33,0.5,480,1.4,65.3,1000,3.1,64.8,2000,2.5,64.8,2600,02:30:00,64.8,,180,100,7954,00:01:04.250000,1.076,298,1.058,5.19,14.5,"sugeery, cerial"
665,38.21,0.3,78.39,4.48,77.87, ,339.41, , , , ,17.3,75.8,6.9,,,,,,,17.3,75.8,6.9,7.92,174,135,43,80,Nil,acceptable,,2023-01-30 00:00:00,2025-04-30 00:00:00,2024-11-05 00:00:00,17.9,0.2143727161997564,2024-12-23 00:00:00,2024-01-25 00:00:00,2024-11-05 00:00:00,38.0, ,2024-07-23 00:00:00,2024-07-25 00:00:00,2024-11-05 00:00:00,32.6, ,2024-02-24 00:00:00,2024-02-26 00:00:00,2024-11-05 00:00:00,62.0,7992,800,280,65.0,78.0,67.0,25,30,150,150,78.0,150,85.2,130,280,74.0,0.33,0.48,480,1.4,65.3,1000,2.0,65.3,2000,3.0,65.3,2600,2,65.3,,180,100,7992,00:01:04.250000,1.076,298,1.059,5.19,14.57, 
681,37.81,0.3,77.96,4.49,77.51, ,337.35, , , , ,17.9,75.3,6.8,,,,,,,17.9,75.3,6.8,7.33,187,135,40,80,NIL,ACCEPTABLE,,2023-02-01 00:00:00,2024-04-25 00:00:00,2024-11-08 00:00:00,17.5, ,2024-12-23 00:00:00,2024-06-25 00:00:00,2024-11-08 00:00:00,37.4, ,2024-07-23 00:00:00,2024-07-25 00:00:00,2024-11-08 00:00:00,32.1, ,2024-02-24 00:00:00,2024-02-26 00:00:00,2024-11-08 00:00:00,61.6,7980,800,280,65.3,78.0,66.5,25,30,150,150,78.9,150,82.1,130,280,75.3,0.33,0.5,480,1.4,65.3,1000,2.0,65.8,2000,2.0,65.3,2600,2,65.3,,180,100,7980,00:01:04.250000,1.076,296,1.058,5.17,14.5, 
697,37.11,0.3,78.49,4.27,77.45, ,337.74, , , , ,18.81,75.09,6.1,,,,,,,18.81,75.09,6.1,7.21,229,130,44,80,NIL, ,,2023-02-02 00:00:00,2024-04-25 00:00:00,2024-11-11 00:00:00,17.2, ,2024-12-23 00:00:00,2024-06-25 00:00:00,2024-11-24 00:00:00,36.9, ,2024-07-23 00:00:00,2024-07-25 00:00:00,2024-11-24 00:00:00,31.7, ,2024-02-24 00:00:00,2024-02-26 00:00:00,2024-11-24 00:00:00,61.1,8016,800,280,,78.0,68.0,25,30,150,150,78.4,150,85.2,130,280,73.9,0.33,0.55,480,1.4,,1000,2.0,65.4,2000,3.0,65.4,2600,2,65.4,,180,100,8016,00:01:04.250000,1.076,298,1.058,5.21,14.5, 
712,38.12,0.3,78.4,4.57,77.37, ,337.58, , , , ,17.4,75.79,6.81,,,,,,,17.4,75.79,6.81,7.09,210,100,44,70,NIL, ,,2023-02-03 00:00:00,2024-04-25 00:00:00,2024-11-14 00:00:00,16.8, ,2024-12-23 00:00:00,2024-06-25 00:00:00,2024-11-24 00:00:00,36.3, ,2024-07-23 00:00:00,2024-07-25 00:00:00,2024-11-24 00:00:00,31.3, ,2024-02-24 00:00:00,2024-02-26 00:00:00,2024-11-24 00:00:00,60.7,7995,800,280,65.6,68.0,70.0,25,30,150,150,78.4,150,85.2,130,280,75.3,0.33,0.5,480,1.4,65.1,1000,2.0,65.1,2000,3.0,65.1,2600,2,65.0,,180,100,7995,00:01:04.250000,1.076,297,1.058,5.19,14.5, 
727,37.5,0.3,78.51,4.46,77.71, ,337.04, , , , ,18.09,75.13,6.78,,,,,,,18.09,75.13,6.78,7.2,208,105,41,70,NIL, ,,2023-02-04 00:00:00,2024-04-25 00:00:00,2024-11-17 00:00:00,16.4, ,2024-12-23 00:00:00,2024-06-25 00:00:00,2024-11-24 00:00:00,35.8, ,2023-12-01 00:00:00,2025-12-01 00:00:00,2024-11-24 00:00:00,51.8, ,2024-02-24 00:00:00,2024-02-26 00:00:00,2024-11-24 00:00:00,60.3,7996,800,280,,78.0,,25,30,150,150,78.5,150,85.6,130,280,76.2,0.33,0.5,480,1.4,,1000,2.0,,2000,3.0,,2600,2,,,180,100,7996,00:01:04.250000,1.076,296,1.059,5.19,14.75, 
745,39.12,0.4,72.21,4.44,77.67, ,337.12, , , , ,18.2,75.1,6.7,,,,,,,18.2,75.1,6.7,7.21,220,102,40,70,NIL,ACCEPTABLE,,2023-02-05 00:00:00,1935-04-01 00:00:00,2024-11-21 00:00:00,16.0, ,2024-12-23 00:00:00,2024-06-25 00:00:00,2024-11-21 00:00:00,35.0, ,2023-12-01 00:00:00,2025-12-01 00:00:00,2024-11-21 00:00:00,51.3, ,2024-02-24 00:00:00,2024-02-26 00:00:00,2024-11-21 00:00:00,59.8,7962,800,280,65.5,78.0,67.0,25,30,150,150,79.5,150,82.9,150,280,73.9,0.33,0.48,480,1.4,65.4,1000,2.0,65.4,2000,3.0,65.4,2600,2,64.5,,180,100,7962,00:01:04.250000,1.076,306,1.056,5.22,14.0, 
761,38.58,0.34,78.5,4.68,77.51, ,337.28, ,93.1,75.2,1.6,17.3,75.8,6.8,,,,,,,17.3,75.8,6.8,7.57,210,107,55,90,NIL, ,,2023-02-06 00:00:00,2024-04-25 00:00:00,2024-11-24 00:00:00,15.6, ,2024-12-23 00:00:00,2024-06-25 00:00:00,2024-11-24 00:00:00,34.5, ,2023-12-01 00:00:00,2025-12-01 00:00:00,2024-11-24 00:00:00,50.9, ,2024-02-24 00:00:00,2024-02-26 00:00:00,2024-11-24 00:00:00,59.4,7965,800,280,65.2,78.0,68.0,25,30,150,150,78.2,150,85.3,130,280,75.1,0.33,0.56,480,1.4,65.3,1000,2.0,65.2,2000,3.0,65.2,2600,2,65.0,,180,100,7965,00:01:04.250000,1.075,292,1.057,5.17,14.25, 
780,38.23,0.4,70.62,4.39,77.5, ,337.81, ,93.3,75.7,1.6,17.33868,75.8,6.8,,,,,,,17.3,75.8,6.8,7.37,197,90,38,60,nil,accept,,2023-02-07 00:00:00,2024-04-25 00:00:00,2024-11-29 00:00:00,15.0, ,2024-12-23 00:00:00,2024-06-25 00:00:00,2024-11-24 00:00:00,33.6, ,2023-12-01 00:00:00,2025-12-01 00:00:00,2024-11-29 00:00:00,50.2, ,2024-02-24 00:00:00,2024-02-26 00:00:00,2024-11-29 00:00:00,58.7,7900,800,280,65.2,,,25,30,150,150,78.8,150,85.1,130,280,75.1,0.33,0.52,480,2.0,65.2,1000,2.0,65.2,2000,3.0,65.2,2600,2,65.2,,180,100,7900,00:01:04.250000,1.077,309,1.058,5.15,14.5, 
798,38.13,0.4,71.82,4.34,77.87,,337.43,,94.1,75.1,0.5,18.2,75.0,6.8,,,,,,,18.2,75.0,6.8,6.95,211,100,41,70,nil,Accept,,2023-02-08 00:00:00,2024-04-25 00:00:00,2024-12-07 00:00:00,14.0,3.36,2024-12-23 00:00:00,2024-06-25 00:00:00,2024-12-07 00:00:00,32.1,,2023-12-01 00:00:00,2025-12-01 00:00:00,2024-12-07 00:00:00,49.1,,2024-02-24 00:00:00,2024-02-26 00:00:00,2024-12-07 00:00:00,57.6,7813,800,280,65.1,,,25,30,150,150,78.4,150,85.2,130,280,75.1,0.33,0.6,480,2.0,65.1,1000,2.0,65.1,2000,3.0,65.1,2600,2,65.1,,180,100,7813,1:4.25.,1.075,303,1.058,5.17,14.5, 
